Month,"Monthly Lake Erie Levels 1921 ? 1970,"
Jan-21,14.763
Feb-21,14.649
Mar-21,15.085
Apr-21,16.376
May-21,16.926
Jun-21,16.774
Jul-21,16.49
Aug-21,15.769
Sep-21,15.18
Oct-21,14.383
Nov-21,14.478
Dec-21,14.364
Jan-22,13.928
Feb-22,13.283
Mar-22,13.7
Apr-22,15.465
May-22,16.243
Jun-22,16.49
Jul-22,16.243
Aug-22,15.787
Sep-22,15.446
Oct-22,14.649
Nov-22,13.776
Dec-22,13.188
Jan-23,13.283
Feb-23,12.657
Mar-23,12.979
Apr-23,13.909
May-23,14.535
Jun-23,14.877
Jul-23,14.858
Aug-23,14.288
Sep-23,13.947
Oct-23,13.416
Nov-23,12.903
Dec-23,13.454
Jan-24,13.491
Feb-24,13.567
Mar-24,13.397
Apr-24,14.44
May-24,15.161
Jun-24,15.427
Jul-24,15.693
Aug-24,15.142
Sep-24,14.763
Oct-24,14.288
Nov-24,13.074
Dec-24,12.543
Jan-25,12.239
Feb-25,12.011
Mar-25,12.827
Apr-25,13.567
May-25,13.548
Jun-25,13.302
Jul-25,13.188
Aug-25,13.112
Sep-25,12.827
Oct-25,12.201
Nov-25,11.917
Dec-25,11.803
Jan-26,11.157
Feb-26,10.892
Mar-26,11.12
Apr-26,12.6
May-26,13.283
Jun-26,13.416
Jul-26,13.34
Aug-26,13.529
Sep-26,13.776
Oct-26,14.307
Nov-26,13.852
Dec-26,13.833
Jan-27,13.169
Feb-27,12.941
Mar-27,13.188
Apr-27,14.383
May-27,14.763
Jun-27,15.218
Jul-27,15.161
Aug-27,14.858
Sep-27,14.156
Oct-27,13.586
Nov-27,13.15
Dec-27,14.137
Jan-28,14.231
Feb-28,14.364
Mar-28,13.833
Apr-28,14.478
May-28,15.009
Jun-28,15.617
Jul-28,16.148
Aug-28,15.977
Sep-28,15.142
Oct-28,14.592
Nov-28,14.364
Dec-28,14.497
Jan-29,14.554
Feb-29,14.991
Mar-29,15.863
Apr-29,17.932
May-29,19.184
Jun-29,19.184
Jul-29,18.956
Aug-29,18.254
Sep-29,17.514
Oct-29,16.66
Nov-29,16.338
Dec-29,16.319
Jan-30,17.457
Feb-30,17.173
Mar-30,17.856
Apr-30,18.596
May-30,18.558
Jun-30,18.159
Jul-30,17.685
Aug-30,16.812
Sep-30,16.072
Oct-30,15.332
Nov-30,14.478
Dec-30,14.213
Jan-31,13.738
Feb-31,13.169
Mar-31,12.581
Apr-31,13.245
May-31,13.852
Jun-31,14.175
Jul-31,14.288
Aug-31,13.985
Sep-31,13.435
Oct-31,12.884
Nov-31,12.429
Dec-31,12.41
Jan-32,13.397
Feb-32,13.909
Mar-32,13.833
Apr-32,14.099
May-32,14.687
Jun-32,14.611
Jul-32,14.383
Aug-32,13.909
Sep-32,13.359
Oct-32,12.296
Nov-32,12.106
Dec-32,11.803
Jan-33,12.353
Feb-33,12.22
Mar-33,12.827
Apr-33,14.25
May-33,15.085
Jun-33,14.953
Jul-33,14.44
Aug-33,13.89
Sep-33,13.036
Oct-33,12.201
Nov-33,11.404
Dec-33,11.309
Jan-34,10.987
Feb-34,10.361
Mar-34,10.304
Apr-34,11.347
May-34,11.784
Jun-34,11.841
Jul-34,11.841
Aug-34,11.651
Sep-34,11.404
Oct-34,10.873
Nov-34,10.209
Dec-34,10.076
Jan-35,10.247
Feb-35,10.133
Mar-35,10.74
Apr-35,11.556
May-35,12.201
Jun-35,12.505
Jul-35,12.732
Aug-35,12.201
Sep-35,12.068
Oct-35,11.29
Nov-35,11.139
Dec-35,11.101
Jan-36,10.342
Feb-36,10
Mar-36,11.347
Apr-36,12.77
May-36,13.321
Jun-36,13.34
Jul-36,13.188
Aug-36,12.676
Sep-36,12.315
Oct-36,12.049
Nov-36,11.594
Dec-36,11.252
Jan-37,12.467
Feb-37,13.491
Mar-37,13.491
Apr-37,14.156
May-37,15.256
Jun-37,15.598
Jul-37,16.034
Aug-37,15.598
Sep-37,14.516
Oct-37,13.435
Nov-37,12.638
Dec-37,12.106
Jan-38,12.144
Feb-38,12.979
Mar-38,11.917
Apr-38,15.066
May-38,15.199
Jun-38,15.427
Jul-38,15.427
Aug-38,15.408
Sep-38,14.706
Oct-38,14.137
Nov-38,13.302
Dec-38,12.979
Jan-39,13.036
Feb-39,12.903
Mar-39,13.719
Apr-39,14.801
May-39,15.541
Jun-39,15.617
Jul-39,15.503
Aug-39,15.218
Sep-39,14.592
Oct-39,13.852
Nov-39,13.416
Dec-39,13.055
Jan-40,12.315
Feb-40,12.239
Mar-40,12.562
Apr-40,13.89
May-40,14.687
Jun-40,15.313
Jul-40,15.408
Aug-40,15.028
Sep-40,14.782
Oct-40,14.213
Nov-40,13.435
Dec-40,13.662
Jan-41,14.288
Feb-41,13.491
Mar-41,13.15
Apr-41,13.586
May-41,13.871
Jun-41,14.175
Jul-41,14.099
Aug-41,13.719
Sep-41,13.093
Oct-41,12.562
Nov-41,12.03
Dec-41,12.144
Jan-42,11.86
Feb-42,12.41
Mar-42,12.77
Apr-42,14.63
May-42,15.218
Jun-42,15.92
Jul-42,15.882
Aug-42,15.75
Sep-42,15.275
Oct-42,14.801
Nov-42,14.554
Dec-42,14.345
Jan-43,15.104
Feb-43,14.554
Mar-43,14.953
Apr-43,15.958
May-43,17.59
Jun-43,18.805
Jul-43,18.805
Aug-43,18.33
Sep-43,17.476
Oct-43,16.812
Nov-43,16.224
Dec-43,15.541
Jan-44,14.744
Feb-44,14.478
Mar-44,14.725
Apr-44,16.319
May-44,17.324
Jun-44,17.609
Jul-44,17.211
Aug-44,16.546
Sep-44,15.977
Oct-44,15.427
Nov-44,14.972
Dec-44,14.535
Jan-45,14.213
Feb-45,13.719
Mar-45,15.009
Apr-45,16.319
May-45,17.078
Jun-45,17.913
Jul-45,18.159
Aug-45,17.704
Sep-45,17.059
Oct-45,17.268
Nov-45,16.546
Dec-45,16.072
Jan-46,15.996
Feb-46,15.294
Mar-46,15.901
Apr-46,16.3
May-46,16.546
Jun-46,17.495
Jul-46,17.666
Aug-46,16.964
Sep-46,16.148
Oct-46,15.427
Nov-46,14.839
Dec-46,14.269
Jan-47,14.118
Feb-47,14.156
Mar-47,14.08
Apr-47,16.414
May-47,18.216
Jun-47,19.298
Jul-47,18.824
Aug-47,18.368
Sep-47,17.875
Oct-47,16.869
Nov-47,16.129
Dec-47,15.712
Jan-48,15.617
Feb-48,15.161
Mar-48,16.148
Apr-48,17.609
May-48,18.406
Jun-48,18.463
Jul-48,18.254
Aug-48,17.609
Sep-48,16.812
Oct-48,15.712
Nov-48,15.066
Dec-48,14.763
Jan-49,14.877
Feb-49,15.37
Mar-49,15.731
Apr-49,15.996
May-49,16.224
Jun-49,16.186
Jul-49,16.015
Aug-49,15.446
Sep-49,14.573
Oct-49,14.08
Nov-49,13.226
Dec-49,12.979
Jan-50,14.459
Feb-50,15.655
Mar-50,15.636
Apr-50,17.154
May-50,17.381
Jun-50,17.116
Jul-50,16.736
Aug-50,16.167
Sep-50,15.92
Oct-50,15.408
Nov-50,15.066
Dec-50,15.769
Jan-51,15.787
Feb-51,15.863
Mar-51,17.154
Apr-51,18.178
May-51,18.653
Jun-51,18.615
Jul-51,18.406
Aug-51,17.837
Sep-51,17.078
Oct-51,16.471
Nov-51,16.224
Dec-51,16.395
Jan-52,17.4
Feb-52,18.672
Mar-52,19.089
Apr-52,19.829
May-52,20
Jun-52,19.943
Jul-52,19.526
Aug-52,18.975
Sep-52,18.463
Oct-52,17.268
Nov-52,16.414
Dec-52,16.414
Jan-53,16.755
Feb-53,16.736
Mar-53,17.173
Apr-53,17.647
May-53,18.216
Jun-53,18.767
Jul-53,18.539
Aug-53,18.273
Sep-53,17.419
Oct-53,16.679
Nov-53,15.996
Dec-53,15.465
Jan-54,15.408
Feb-54,15.123
Mar-54,16.072
Apr-54,17.685
May-54,18.235
Jun-54,18.064
Jul-54,17.818
Aug-54,17.438
Sep-54,16.812
Oct-54,17.116
Nov-54,17.211
Dec-54,17.097
Jan-55,17.495
Feb-55,17.097
Mar-55,18.121
Apr-55,18.748
May-55,18.767
Jun-55,18.539
Jul-55,18.102
Aug-55,17.818
Sep-55,17.002
Oct-55,16.357
Nov-55,15.56
Dec-55,15.313
Jan-56,14.782
Feb-56,13.719
Mar-56,14.839
Apr-56,15.825
May-56,17.324
Jun-56,17.723
Jul-56,17.685
Aug-56,17.514
Sep-56,16.907
Oct-56,15.863
Nov-56,14.934
Dec-56,14.706
Jan-57,14.383
Feb-57,14.345
Mar-57,14.763
Apr-57,15.958
May-57,16.698
Jun-57,16.793
Jul-57,17.23
Aug-57,16.509
Sep-57,15.787
Oct-57,14.991
Nov-57,14.08
Dec-57,14.326
Jan-58,14.497
Feb-58,13.51
Mar-58,13.662
Apr-58,14.042
May-58,14.269
Jun-58,14.478
Jul-58,14.972
Aug-58,14.972
Sep-58,14.573
Oct-58,13.776
Nov-58,13.017
Dec-58,12.6
Jan-59,12.296
Feb-59,13.131
Mar-59,13.966
Apr-59,15.028
May-59,15.844
Jun-59,15.769
Jul-59,15.237
Aug-59,14.801
Sep-59,14.137
Oct-59,13.89
Nov-59,13.416
Dec-59,13.871
Jan-60,14.478
Feb-60,14.725
Mar-60,14.763
Apr-60,15.806
May-60,16.565
Jun-60,17.097
Jul-60,17.306
Aug-60,17.211
Sep-60,16.717
Oct-60,15.787
Nov-60,14.801
Dec-60,14.231
Jan-61,13.966
Feb-61,14.004
Mar-61,15.313
Apr-61,16.357
May-61,17.742
Jun-61,17.609
Jul-61,17.249
Aug-61,17.078
Sep-61,16.509
Oct-61,15.465
Nov-61,14.706
Dec-61,14.213
Jan-62,13.662
Feb-62,13.928
Mar-62,14.516
Apr-62,15.18
May-62,15.351
Jun-62,15.579
Jul-62,15.446
Aug-62,15.199
Sep-62,14.725
Oct-62,14.383
Nov-62,14.231
Dec-62,13.776
Jan-63,13.15
Feb-63,12.713
Mar-63,13.283
Apr-63,14.478
May-63,14.858
Jun-63,14.782
Jul-63,14.307
Aug-63,14.023
Sep-63,13.529
Oct-63,12.922
Nov-63,12.41
Dec-63,11.936
Jan-64,11.784
Feb-64,11.992
Mar-64,12.619
Apr-64,13.662
May-64,14.231
Jun-64,14.099
Jul-64,13.833
Aug-64,13.416
Sep-64,12.922
Oct-64,11.974
Nov-64,11.461
Dec-64,11.423
Jan-65,11.86
Feb-65,12.163
Mar-65,13.226
Apr-65,13.966
May-65,14.535
Jun-65,14.516
Jul-65,14.231
Aug-65,13.966
Sep-65,13.738
Oct-65,13.226
Nov-65,12.998
Dec-65,13.131
Jan-66,13.7
Feb-66,13.814
Mar-66,14.383
Apr-66,15.047
May-66,15.693
Jun-66,15.844
Jul-66,15.712
Aug-66,15.313
Sep-66,14.763
Oct-66,13.548
Nov-66,13.586
Dec-66,14.516
Jan-67,14.383
Feb-67,14.497
Mar-67,14.744
Apr-67,15.806
May-67,16.527
Jun-67,16.546
Jul-67,16.717
Aug-67,16.433
Sep-67,15.769
Oct-67,15.275
Nov-67,15.123
Dec-67,15.541
Jan-68,15.825
Feb-68,16.376
Mar-68,16.357
Apr-68,16.907
May-68,17.021
Jun-68,17.419
Jul-68,17.533
Aug-68,17.268
Sep-68,16.603
Oct-68,15.825
Nov-68,15.446
Dec-68,15.636
Jan-69,15.693
Feb-69,16.755
Mar-69,16.509
Apr-69,17.723
May-69,18.691
Jun-69,19.127
Jul-69,19.564
Aug-69,19.203
Sep-69,18.216
Oct-69,17.211
Nov-69,16.66
Dec-69,16.831
Jan-70,15.769
Feb-70,15.731
Mar-70,15.996
Apr-70,17.021
May-70,17.552
Jun-70,17.837
Jul-70,17.856
Aug-70,17.571
Sep-70,17.078
Oct-70,16.66
Nov-70,16.433
Dec-70,16.584
,
Monthly Lake Erie Levels 1921 ? 1970,