県名,人口,若年,老人,面積,婚姻,離婚,失業,勤男,勤女
北海道,5320000,588000,1632000,7842078,4.5,1.91,4.6,427,289
青森県,1278000,141000,407000,964564,4.01,1.64,5.3,416,335
岩手県,1255000,144000,400000,1527501,3.8,1.48,4,413,336
宮城県,2323000,280000,631000,728222,4.58,1.61,4.9,403,300
秋田県,996000,101000,354000,1163752,3.32,1.37,4.3,399,315
山形県,1102000,130000,355000,932315,3.91,1.32,3.6,399,329
福島県,1882000,220000,569000,1378390,4.29,1.7,4.4,421,329
茨城県,2892000,355000,819000,609719,4.42,1.62,4.5,405,279
栃木県,1957000,245000,536000,640809,4.49,1.64,4.3,409,280
群馬県,1960000,241000,567000,636228,4.25,1.61,4.3,422,296
埼玉県,7310000,899000,1900000,379775,4.61,1.66,4.3,399,264
千葉県,6246000,755000,1692000,515761,4.59,1.66,4.1,404,272
東京都,13724000,1542000,3160000,219396,6.19,1.68,3.9,389,276
神奈川県,9159000,1122000,2274000,241617,5.05,1.68,3.9,412,273
新潟県,2267000,265000,709000,1258415,3.93,1.28,3.7,421,311
富山県,1056000,124000,334000,424761,4.13,1.32,3.1,411,315
石川県,1147000,145000,331000,418605,4.51,1.34,3.4,426,294
福井県,779000,101000,232000,419051,4.34,1.39,3.3,422,304
山梨県,823000,99000,245000,446527,4.39,1.67,4.4,403,294
長野県,2076000,260000,647000,1356156,4.32,1.55,3.4,415,311
岐阜県,2008000,258000,589000,1062129,4.18,1.48,3.4,416,292
静岡県,3675000,464000,1069000,777742,4.51,1.63,4,411,286
愛知県,7525000,1010000,1852000,517292,5.33,1.66,3.4,414,278
三重県,1800000,226000,522000,577441,4.41,1.55,3.4,399,282
滋賀県,1413000,200000,357000,401738,4.66,1.56,3.5,405,297
京都府,2599000,308000,743000,461220,4.57,1.58,4.4,389,287
大阪府,8823000,1069000,2399000,190514,5.15,1.92,5.3,412,282
兵庫県,5503000,692000,1558000,840094,4.63,1.66,4.6,424,277
奈良県,1348000,163000,408000,369094,4.07,1.52,4.9,406,283
和歌山県,945000,112000,304000,472464,4.28,1.81,4.5,412,282
鳥取県,565000,72000,175000,350713,4.27,1.58,3.9,423,303
島根県,685000,85000,230000,670806,3.89,1.51,2.9,379,305
岡山県,1907000,243000,567000,711432,4.63,1.7,4.1,421,288
広島県,2829000,368000,809000,847963,4.66,1.63,3.7,401,281
山口県,1383000,164000,462000,611253,4.11,1.59,4,399,277
徳島県,743000,85000,241000,414680,4.02,1.57,5,413,293
香川県,967000,120000,301000,187677,4.46,1.74,4,422,293
愛媛県,1364000,164000,437000,567623,4.14,1.7,4.4,404,287
高知県,714000,80000,244000,710386,4.02,1.78,4.9,391,304
福岡県,5107000,675000,1384000,498652,5.07,1.88,5.3,425,297
佐賀県,824000,113000,240000,244068,4.42,1.56,4.1,423,317
長崎県,1354000,173000,424000,413088,4.31,1.54,4.4,412,307
熊本県,1765000,237000,531000,740948,4.47,1.62,4.5,444,321
大分県,1152000,143000,367000,634073,4.36,1.69,4.5,411,302
宮崎県,1089000,146000,338000,773532,4.3,1.96,4.6,397,310
鹿児島県,1626000,217000,501000,918701,4.39,1.7,4.7,410,297
沖縄県,1443000,247000,303000,228098,5.6,2.41,6.3,424,313